School Code,Teacher,Date,Julian,Tree ID,Species Code,Total Leaves,Fallen Leaves,Tree Color
AHE,Rosenthal,2011-09-21,264,9,BB,12,1,1
AHE,Rosenthal,2011-09-21,264,10,SA,18,0,1
AHE,Rosenthal,2011-09-21,264,11,WB,12,3,1
AHE,Rosenthal,2011-09-21,264,12,RM,12,0,1
AHE,Rosenthal,2011-09-28,271,1,SH,18,0,1
AHE,Rosenthal,2011-09-28,271,2,SA,12,0,1
AHE,Rosenthal,2011-09-28,271,3,RM,12,1,1
AHE,Rosenthal,2011-09-28,271,4,BC,12,1,1
AHE,Rosenthal,2011-09-28,271,5,GB,12,1,2
AHE,Rosenthal,2011-09-28,271,6,WB,18,0,1
AHE,Rosenthal,2011-09-28,271,7,WO,12,1,1
AHE,Rosenthal,2011-09-28,271,8,RO,12,1,1
AHE,Rosenthal,2011-09-28,271,9,BB,12,3,2
AHE,Rosenthal,2011-09-28,271,10,SA,18,0,1
AHE,Rosenthal,2011-09-28,271,11,WB,12,5,1
AHE,Rosenthal,2011-09-28,271,12,RM,12,0,1
AHE,Rosenthal,2011-10-02,275,1,SH,18,0,1
AHE,Rosenthal,2011-10-02,275,2,SA,12,1,1
AHE,Rosenthal,2011-10-02,275,3,RM,12,1,1
AHE,Rosenthal,2011-10-02,275,4,BC,12,1,1
AHE,Rosenthal,2011-10-02,275,5,GB,12,1,2
AHE,Rosenthal,2011-10-02,275,6,WB,18,0,1
AHE,Rosenthal,2011-10-02,275,7,WO,12,1,1
AHE,Rosenthal,2011-10-02,275,8,RO,12,1,1
AHE,Rosenthal,2011-10-02,275,9,BB,12,4,2
AHE,Rosenthal,2011-10-02,275,10,SA,18,3,1
AHE,Rosenthal,2011-10-02,275,11,WB,12,7,1
AHE,Rosenthal,2011-10-02,275,12,RM,12,0,1
AHE,Rosenthal,2011-10-17,290,1,SH,18,1,4
AHE,Rosenthal,2011-10-17,290,2,SA,12,1,3
AHE,Rosenthal,2011-10-17,290,3,RM,12,2,1
AHE,Rosenthal,2011-10-17,290,4,BC,12,2,2
AHE,Rosenthal,2011-10-17,290,5,GB,12,2,3
AHE,Rosenthal,2011-10-17,290,6,WB,18,6,2
AHE,Rosenthal,2011-10-17,290,7,WO,12,1,1
AHE,Rosenthal,2011-10-17,290,8,RO,12,2,2
AHE,Rosenthal,2011-10-17,290,9,BB,12,10,2
AHE,Rosenthal,2011-10-17,290,10,SA,18,4,4
AHE,Rosenthal,2011-10-17,290,11,WB,12,9,2
AHE,Rosenthal,2011-10-17,290,12,RM,12,1,2
AHE,Rosenthal,2011-10-28,301,1,SH,18,10,4
AHE,Rosenthal,2011-10-28,301,2,SA,12,12,4
AHE,Rosenthal,2011-10-28,301,3,RM,12,4,4
AHE,Rosenthal,2011-10-28,301,4,BC,12,5,3
AHE,Rosenthal,2011-10-28,301,5,GB,12,11,4
AHE,Rosenthal,2011-10-28,301,6,WB,18,17,2
AHE,Rosenthal,2011-10-28,301,7,WO,12,4,4
AHE,Rosenthal,2011-10-28,301,8,RO,12,4,2
AHE,Rosenthal,2011-10-28,301,9,BB,12,12,4
AHE,Rosenthal,2011-10-28,301,10,SA,18,18,4
AHE,Rosenthal,2011-10-28,301,11,WB,12,11,4
AHE,Rosenthal,2011-10-28,301,12,RM,12,7,4
AHE,Rosenthal,2011-11-09,313,1,SH,18,18,4
AHE,Rosenthal,2011-11-09,313,2,SA,12,12,4
AHE,Rosenthal,2011-11-09,313,3,RM,12,12,4
AHE,Rosenthal,2011-11-09,313,4,BC,12,12,4
AHE,Rosenthal,2011-11-09,313,5,GB,12,12,4
AHE,Rosenthal,2011-11-09,313,6,WB,18,18,4
AHE,Rosenthal,2011-11-09,313,7,WO,12,8,4
AHE,Rosenthal,2011-11-09,313,8,RO,12,7,3
AHE,Rosenthal,2011-11-09,313,9,BB,12,12,4
AHE,Rosenthal,2011-11-09,313,10,SA,18,18,4
AHE,Rosenthal,2011-11-09,313,11,WB,12,12,4
AHE,Rosenthal,2011-11-09,313,12,RM,12,12,4
AHE,Rosenthal,2012-09-24,268,6,WB,12,0,1
AHE,Rosenthal,2012-09-24,268,7,WO,12,0,1
AHE,Rosenthal,2012-09-24,268,8,RO,12,0,1
AHE,Rosenthal,2012-09-24,268,10,SA,12,0,1
AHE,Rosenthal,2012-09-24,268,11,WB,12,0,1
AHE,Rosenthal,2012-09-25,269,1,SH,12,0,1
AHE,Rosenthal,2012-09-25,269,2,SA,12,0,1
AHE,Rosenthal,2012-09-25,269,3,RM,12,0,1
AHE,Rosenthal,2012-09-25,269,4,BC,12,1,1
AHE,Rosenthal,2012-10-03,277,1,SH,12,0,1
AHE,Rosenthal,2012-10-03,277,2,SA,12,0,2
AHE,Rosenthal,2012-10-03,277,3,RM,12,1,2
AHE,Rosenthal,2012-10-03,277,4,BC,12,1,1
AHE,Rosenthal,2012-10-09,283,6,WB,12,5,2
AHE,Rosenthal,2012-10-09,283,7,WO,12,0,2
AHE,Rosenthal,2012-10-09,283,8,RO,12,1,2
AHE,Rosenthal,2012-10-09,283,10,SA,12,0,3
AHE,Rosenthal,2012-10-09,283,11,WB,12,1,1
AHE,Rosenthal,2012-10-12,286,1,SH,12,0,1
AHE,Rosenthal,2012-10-12,286,2,SA,12,0,3
AHE,Rosenthal,2012-10-12,286,3,RM,12,1,2
AHE,Rosenthal,2012-10-12,286,4,BC,12,2,2
AHE,Rosenthal,2012-10-16,290,1,SH,12,1,3
AHE,Rosenthal,2012-10-16,290,2,SA,12,1,3
AHE,Rosenthal,2012-10-16,290,3,RM,12,2,3
AHE,Rosenthal,2012-10-16,290,4,BC,12,8,3
AHE,Rosenthal,2012-10-18,292,6,WB,12,11,3
AHE,Rosenthal,2012-10-18,292,7,WO,12,0,3
AHE,Rosenthal,2012-10-18,292,8,RO,12,2,2
AHE,Rosenthal,2012-10-18,292,10,SA,12,1,4
AHE,Rosenthal,2012-10-18,292,11,WB,12,4,4
AHE,Rosenthal,2012-10-22,296,1,SH,12,1,4
AHE,Rosenthal,2012-10-22,296,2,SA,12,8,4
AHE,Rosenthal,2012-10-22,296,3,RM,12,9,4
AHE,Rosenthal,2012-10-22,296,4,BC,12,12,4
AHE,Rosenthal,2012-10-23,297,6,WB,12,12,4
AHE,Rosenthal,2012-10-23,297,7,WO,12,0,4
AHE,Rosenthal,2012-10-23,297,8,RO,12,8,4
AHE,Rosenthal,2012-10-23,297,10,SA,12,11,4
AHE,Rosenthal,2012-10-23,297,11,WB,12,12,4
AHE,Rosenthal,2012-11-01,306,1,SH,12,12,4
AHE,Rosenthal,2012-11-01,306,2,SA,12,12,4
AHE,Rosenthal,2012-11-01,306,3,RM,12,12,4
AHE,Rosenthal,2012-11-01,306,4,BC,12,12,4
AHE,Rosenthal,2012-11-02,307,6,WB,12,12,4
AHE,Rosenthal,2012-11-02,307,7,WO,12,6,4
AHE,Rosenthal,2012-11-02,307,8,RO,12,12,4
AHE,Rosenthal,2012-11-02,307,10,SA,12,12,4
AHE,Rosenthal,2012-11-02,307,11,WB,12,12,4
AHE,Rosenthal,2013-10-01,274,1,SH,12,2,1
AHE,Rosenthal,2013-10-01,274,2,SA,12,0,1
AHE,Rosenthal,2013-10-03,276,4,BC,12,0,1
AHE,Rosenthal,2013-10-03,276,6,WB,12,6,1
AHE,Rosenthal,2013-10-03,276,7,WO,12,0,1
AHE,Rosenthal,2013-10-03,276,8,RO,12,0,2
AHE,Rosenthal,2013-10-03,276,10,SA,12,0,2
AHE,Rosenthal,2013-10-03,276,11,WB,18,10,1
AHE,Rosenthal,2013-10-03,276,13,RM,12,0,1
AHE,Rosenthal,2013-10-15,288,1,SH,12,2,4
AHE,Rosenthal,2013-10-15,288,2,SA,12,9,4
AHE,Rosenthal,2013-10-16,289,4,BC,12,9,4
AHE,Rosenthal,2013-10-16,289,6,WB,12,8,2
AHE,Rosenthal,2013-10-16,289,7,WO,12,0,4
AHE,Rosenthal,2013-10-16,289,8,RO,12,4,2
AHE,Rosenthal,2013-10-16,289,10,SA,12,5,4
AHE,Rosenthal,2013-10-16,289,11,WB,18,13,3
AHE,Rosenthal,2013-10-16,289,13,RM,12,0,1
AHE,Rosenthal,2013-10-18,291,1,SH,12,3,4
AHE,Rosenthal,2013-10-18,291,2,SA,12,11,4
AHE,Rosenthal,2013-10-23,296,4,BC,12,12,4
AHE,Rosenthal,2013-10-23,296,6,WB,12,12,4
AHE,Rosenthal,2013-10-23,296,7,WO,12,0,4
AHE,Rosenthal,2013-10-23,296,8,RO,12,6,4
AHE,Rosenthal,2013-10-23,296,10,SA,12,11,4
AHE,Rosenthal,2013-10-23,296,11,WB,18,18,3
AHE,Rosenthal,2013-10-23,296,13,RM,12,0,3
AHE,Rosenthal,2013-10-24,297,1,SH,12,5,4
AHE,Rosenthal,2013-10-24,297,2,SA,12,11,4
AHE,Rosenthal,2013-10-30,303,4,BC,12,12,4
AHE,Rosenthal,2013-10-30,303,6,WB,12,12,4
AHE,Rosenthal,2013-10-30,303,7,WO,12,0,4
AHE,Rosenthal,2013-10-30,303,8,RO,12,11,4
AHE,Rosenthal,2013-10-30,303,10,SA,12,12,4
AHE,Rosenthal,2013-10-30,303,11,WB,18,18,4
AHE,Rosenthal,2013-10-30,303,13,RM,12,5,4
AHE,Rosenthal,2013-10-31,304,1,SH,12,10,4
AHE,Rosenthal,2013-10-31,304,2,SA,12,12,4
AHE,Rosenthal,2014-10-05,278,1,SH,12,4,1
AHE,Rosenthal,2014-10-06,279,2,SA,12,0,3
AHE,Rosenthal,2014-10-06,279,13,RM,12,2,2
AHE,Rosenthal,2014-10-08,281,3,BC,12,0,2
AHE,Rosenthal,2014-10-08,281,7,WO,12,1,1
AHE,Rosenthal,2014-10-08,281,8,RO,12,3,3
AHE,Rosenthal,2014-10-08,281,10,SA,12,8,2
AHE,Rosenthal,2014-10-08,281,11,WB,12,0,2
AHE,Rosenthal,2014-10-08,281,12,RM,12,1,1
AHE,Rosenthal,2014-10-14,287,3,BC,12,5,3
AHE,Rosenthal,2014-10-14,287,7,WO,12,1,2
AHE,Rosenthal,2014-10-14,287,8,RO,12,4,3
AHE,Rosenthal,2014-10-14,287,10,SA,12,10,4
AHE,Rosenthal,2014-10-14,287,11,WB,12,4,2
AHE,Rosenthal,2014-10-14,287,12,RM,12,2,2
AHE,Rosenthal,2014-10-15,288,1,SH,12,5,2
AHE,Rosenthal,2014-10-15,288,2,SA,12,8,4
AHE,Rosenthal,2014-10-15,288,13,RM,12,3,4
AHE,Rosenthal,2014-10-20,293,1,SH,12,5,4
AHE,Rosenthal,2014-10-20,293,2,SA,12,11,4
AHE,Rosenthal,2014-10-20,293,13,RM,12,11,4
AHE,Rosenthal,2014-10-21,294,4,BC,12,9,3
AHE,Rosenthal,2014-10-21,294,7,WO,12,1,2
AHE,Rosenthal,2014-10-21,294,8,RO,12,5,3
AHE,Rosenthal,2014-10-21,294,10,SA,12,12,4
AHE,Rosenthal,2014-10-21,294,11,WB,12,10,2
AHE,Rosenthal,2014-10-21,294,12,RM,12,12,4
AHE,Rosenthal,2014-10-27,300,1,SH,12,11,4
AHE,Rosenthal,2014-10-27,300,2,SA,12,12,4
AHE,Rosenthal,2014-10-27,300,13,RM,12,12,4
AHE,Rosenthal,2014-10-28,301,4,BC,12,12,4
AHE,Rosenthal,2014-10-28,301,7,WO,12,4,4
AHE,Rosenthal,2014-10-28,301,8,RO,12,11,3
AHE,Rosenthal,2014-10-28,301,10,SA,12,12,4
AHE,Rosenthal,2014-10-28,301,11,WB,12,10,4
AHE,Rosenthal,2014-10-28,301,12,RM,12,12,4
AHS,Scott,2006-10-19,292,1,WO,6,0,3
AHS,Scott,2006-10-19,292,2,RO,6,0,NA
AHS,Scott,2006-10-19,292,3,WO,6,0,4
AHS,Scott,2006-10-19,292,4,SA,6,0,3
AHS,Scott,2006-10-19,292,5,CH,6,0,3
AHS,Scott,2006-10-24,297,1,WO,6,0,4
AHS,Scott,2006-10-24,297,2,RO,6,0,NA
AHS,Scott,2006-10-24,297,3,WO,6,0,4
AHS,Scott,2006-10-24,297,4,SA,6,6,4
AHS,Scott,2006-10-24,297,5,CH,6,2,4
AHS,Scott,2006-10-25,298,1,WO,6,0,4
AHS,Scott,2006-10-25,298,2,RO,6,0,NA
AHS,Scott,2006-10-25,298,3,WO,6,0,4
AHS,Scott,2006-10-25,298,4,SA,6,6,4
AHS,Scott,2006-10-25,298,5,CH,6,3,4
AHS,Scott,2006-10-27,300,1,WO,6,0,4
AHS,Scott,2006-10-27,300,2,RO,6,0,NA
AHS,Scott,2006-10-27,300,3,WO,6,0,4
AHS,Scott,2006-10-27,300,4,SA,6,6,4
AHS,Scott,2006-10-27,300,5,CH,6,3,4
AHS,Scott,2006-10-30,303,1,WO,6,3,4
AHS,Scott,2006-10-30,303,2,RO,6,0,NA
AHS,Scott,2006-10-30,303,3,WO,6,0,4
AHS,Scott,2006-10-30,303,4,SA,6,6,4
AHS,Scott,2006-10-30,303,5,CH,6,5,4
AHS,Scott,2006-11-07,311,1,WO,6,3,4
AHS,Scott,2006-11-07,311,2,RO,6,0,NA
AHS,Scott,2006-11-07,311,3,WO,6,0,4
AHS,Scott,2006-11-07,311,4,SA,6,6,4
AHS,Scott,2006-11-07,311,5,CH,6,5,4
AHS,Scott,2006-11-09,313,1,WO,6,3,4
AHS,Scott,2006-11-09,313,2,RO,6,0,4
AHS,Scott,2006-11-09,313,3,WO,6,0,4
AHS,Scott,2006-11-09,313,4,SA,6,6,4
AHS,Scott,2006-11-09,313,5,CH,6,6,4
AHS,Scott,2006-11-20,324,1,WO,6,4,4
AHS,Scott,2006-11-20,324,2,RO,6,0,4
AHS,Scott,2006-11-20,324,3,WO,6,0,4
AHS,Scott,2006-11-20,324,4,SA,6,6,4
AHS,Scott,2006-11-20,324,5,CH,6,6,4
AHS,Scott,2006-11-27,331,1,WO,6,4,4
AHS,Scott,2006-11-27,331,2,RO,6,0,4
AHS,Scott,2006-11-27,331,3,WO,6,0,4
AHS,Scott,2006-11-27,331,4,SA,6,6,4
AHS,Scott,2006-11-27,331,5,CH,6,6,4
AHS,Scott,2006-11-30,334,1,WO,6,4,4
AHS,Scott,2006-11-30,334,2,RO,6,0,4
AHS,Scott,2006-11-30,334,3,WO,6,0,4
AHS,Scott,2006-11-30,334,4,SA,6,6,4
AHS,Scott,2006-11-30,334,5,CH,6,6,4
AHS,Scott,2006-12-11,345,1,WO,6,5,4
AHS,Scott,2006-12-11,345,2,RO,6,0,4
AHS,Scott,2006-12-11,345,3,WO,6,0,4
AHS,Scott,2006-12-11,345,4,SA,6,6,4
AHS,Scott,2006-12-11,345,5,CH,6,6,4
AHS,Scott,2008-10-24,298,2,X1,6,6,NA
AHS,Scott,2008-10-24,298,3,SA,6,3,1
AHS,Scott,2008-10-24,298,4,CH,6,0,4
AHS,Scott,2008-10-24,298,5,BE,6,0,1
AHS,Scott,2008-10-24,298,6,EL,6,6,NA
AHS,Scott,2008-10-31,305,1,PO,6,0,3
AHS,Scott,2008-10-31,305,2,X1,6,6,NA
AHS,Scott,2008-10-31,305,3,SA,6,6,NA
AHS,Scott,2008-10-31,305,4,CH,6,0,2
AHS,Scott,2008-10-31,305,5,BE,6,5,1
AHS,Scott,2008-10-31,305,6,EL,6,6,NA
AHS,Scott,2008-11-12,317,1,PO,6,0,2
AHS,Scott,2008-11-12,317,2,X1,6,6,NA
AHS,Scott,2008-11-12,317,3,SA,6,6,NA
AHS,Scott,2008-11-12,317,4,CH,6,0,1
AHS,Scott,2008-11-12,317,5,BE,6,6,NA
AHS,Scott,2008-11-12,317,6,EL,6,6,NA
AHS,Scott,2008-11-21,326,1,PO,6,1,1
AHS,Scott,2008-11-21,326,2,X1,6,6,NA
AHS,Scott,2008-11-21,326,3,SA,6,6,NA
AHS,Scott,2008-11-21,326,4,CH,6,0,1
AHS,Scott,2008-11-21,326,5,BE,6,6,NA
AHS,Scott,2008-11-21,326,6,EL,6,6,NA
AHS,Scott,2008-12-05,340,1,PO,6,2,1
AHS,Scott,2008-12-05,340,2,X1,6,6,NA
AHS,Scott,2008-12-05,340,3,SA,6,6,NA
AHS,Scott,2008-12-05,340,4,CH,6,0,1
AHS,Scott,2008-12-05,340,5,BE,6,6,NA
AHS,Scott,2008-12-05,340,6,EL,6,6,NA
AHS,Scott,2011-10-07,280,1,RM,6,0,3
AHS,Scott,2011-10-07,280,2,SA,6,0,1
AHS,Scott,2011-10-07,280,3,WO,6,0,1
AHS,Scott,2011-10-07,280,4,RM,6,0,1
AHS,Scott,2011-10-07,280,5,PO,6,0,1
AHS,Scott,2011-10-07,280,6,SA,6,0,1
AHS,Scott,2011-11-08,312,1,RM,6,5,4
AHS,Scott,2011-11-08,312,2,SA,6,4,4
AHS,Scott,2011-11-08,312,3,WO,6,0,4
AHS,Scott,2011-11-08,312,4,RM,6,0,4
AHS,Scott,2011-11-08,312,5,PO,6,5,4
AHS,Scott,2011-11-08,312,6,SA,6,2,4
AHS,Scott,2011-11-15,319,1,RM,6,6,4
AHS,Scott,2011-11-15,319,2,SA,6,4,4
AHS,Scott,2011-11-15,319,3,WO,6,1,4
AHS,Scott,2011-11-15,319,4,RM,6,6,4
AHS,Scott,2011-11-15,319,5,PO,6,6,4
AHS,Scott,2011-11-15,319,6,SA,6,4,4
AHS,Scott,2011-11-21,325,1,RM,6,6,4
AHS,Scott,2011-11-21,325,2,SA,6,6,4
AHS,Scott,2011-11-21,325,3,WO,6,4,4
AHS,Scott,2011-11-21,325,4,RM,6,6,4
AHS,Scott,2011-11-21,325,5,PO,6,6,4
AHS,Scott,2011-11-21,325,6,SA,6,5,4
APS,Blewitt,2006-09-13,256,1,WP,12,1,1
APS,Blewitt,2006-09-13,256,2,GB,12,0,1
APS,Blewitt,2006-09-13,256,3,GB,12,1,1
APS,Blewitt,2006-09-13,256,6,BO,12,0,1
APS,Blewitt,2006-09-13,256,7,GB,12,0,1
APS,Blewitt,2006-09-13,256,8,TA,12,0,1
APS,Blewitt,2006-09-14,257,4,RP,12,0,1
APS,Blewitt,2006-09-14,257,5,BC,12,0,1
APS,Blewitt,2006-09-14,257,9,RM,12,2,1
APS,Blewitt,2006-09-14,257,10,OT,12,0,1
APS,Blewitt,2006-09-14,257,11,OT,12,1,3
APS,Blewitt,2006-09-14,257,12,OT,12,1,1
APS,Blewitt,2006-09-19,262,1,WP,12,1,1
APS,Blewitt,2006-09-19,262,2,GB,12,2,1
APS,Blewitt,2006-09-19,262,3,GB,12,2,1
APS,Blewitt,2006-09-19,262,6,BO,12,0,1
APS,Blewitt,2006-09-19,262,7,GB,12,1,1
APS,Blewitt,2006-09-19,262,8,TA,12,7,2
APS,Blewitt,2006-09-20,263,4,RP,12,0,1
APS,Blewitt,2006-09-20,263,5,BC,12,0,1
APS,Blewitt,2006-09-20,263,9,RM,12,3,1
APS,Blewitt,2006-09-20,263,10,OT,12,0,1
APS,Blewitt,2006-09-20,263,11,OT,12,2,3
APS,Blewitt,2006-09-20,263,12,OT,12,1,1
